case,status,ux,uy,disp_mean,K,mu,E,nu,KM_mean,material_mean,A_or_beta0,A_abs_error,reaction_rel_error,reaction_rel_error_stress_branch,reaction_rel_error_constitutive,equilibrium_form,reaction_form,best_step,elapsed_seconds,num_trainable_parameters
A0,completed,0.0387785868591143,0.007153730189860385,0.022966158524487343,0.4943350160949465,0.24292922240172676,0.308169461747247,1.02748802584822,0.3686321192483366,0.518230431523035,1.0,0.0,0.3036595336155819,0.3036595336155819,0.30392856163695914,mixed,stress,150000,15305.439425945282,34279
A1,completed,0.06850570344786723,0.07011691741636887,0.06931131043211805,1.4763052075882033,0.38155760081152773,0.4189596282413443,1.0312703238924157,0.9289314041998655,0.8270231901333728,0.85,0.15000000000000002,0.3610716184293477,0.3610716184293477,0.3678275812566923,mixed,stress,137000,15390.395595312119,34279
A2,completed,0.03246304379971944,0.00533914252497088,0.01890109316234516,0.44520116255635434,0.2518358026160405,0.2966942467781292,0.9368009780831413,0.34851848258619744,0.4826330475084164,0.9940654635429382,0.005934536457061768,0.2613861205182355,0.2613861205182355,0.2672547477657809,mixed,stress,148000,15020.949868679047,34279
A3,completed,0.04125555485942484,0.004052085125891772,0.022653819992658305,0.16292835844088546,0.2526847659320647,0.1924282829659759,0.2617047980580045,0.20780656218647509,0.21743655134923265,0.9958863854408264,0.004113614559173584,0.00020135443917663383,0.00020135443917663383,2.6553415096972e-05,mixed,stress,145000,15170.487541675568,34279
A4,completed,0.04379068189887475,0.008381603409972042,0.026086142654423397,0.48994535456846366,0.2576194954267004,0.30033841184654997,0.9863608425484607,0.373782424997582,0.5085660260975436,1.0001658201217651,0.00016582012176513672,0.2798310686771949,0.2798310686771949,0.2833899788261231,mixed,stress,149000,15324.847281455994,34279
A5,completed,0.0414407971866803,0.005783485317523564,0.023612141252101933,0.255175866861023,0.24815348904007015,0.15506665062815206,0.3804096158856773,0.2516646779505466,0.2597014056037306,0.9999091625213623,9.083747863769531e-05,0.0014511925117167005,0.0014511925117167005,0.002309502091207488,mixed,stress,149000,15286.50898528099,34279
A6,completed,0.0338882639716611,0.0038257982805772264,0.018857031126119164,0.19994383407702165,0.20961435328967012,0.13794056954204173,0.3156249529199035,0.2047790936833459,0.21578092745715927,0.9944400191307068,0.005559980869293213,0.0015650389351486574,0.0015650389351486574,0.0008050952455919972,mixed,stress,149000,17561.183567285538,138327
A7,completed,0.06614632035084105,0.07685661155125287,0.07150146595104695,0.7834897060648337,0.38877647819721073,0.3777414008989564,0.4712264377928941,0.5861330921310222,0.5053085057384736,0.8500000238418579,0.1499999761581421,0.26612472257229175,0.26612472257229175,0.26631903551880093,direct,stress,150000,22889.641212701797,29432
A8,completed,0.0836981135382468,0.007822069945540758,0.04576009174189378,0.25828509549336937,0.300339779142573,0.29328837991152684,0.377237857027456,0.2793124373179712,0.3072877778937313,0.9951716065406799,0.004828393459320068,0.21361351665504721,0.21361351665504721,0.2056736155262332,direct,stress,141000,22444.990698337555,29432
A9,completed,0.07450051556403266,0.011348506419793191,0.042924510991912926,0.10715457708629082,0.2039383980472529,0.18246058345204913,0.17199186685140086,0.15554648756677186,0.16638635635924842,0.9987220168113708,0.0012779831886291504,0.0021553417784582656,0.0013956130963112977,0.0021553417784582656,direct,constitutive,143000,23343.091727018356,29432
A10,completed,0.08411944496101306,0.006230927723827774,0.04517518634242042,0.24852256351420532,0.27585108075776077,0.2758564012121055,0.36897251871233877,0.26218682213598304,0.2923006410491026,0.9986242651939392,0.001375734806060791,0.19398850032799284,0.19398850032799284,0.1922126466276411,direct,stress,148000,25064.658609628677,29432
A11,completed,0.0870318532271831,0.008625024977405792,0.047828439102294444,0.21413808757813152,0.2830909871988147,0.2459666245001743,0.26579028384206227,0.2486145373884731,0.2522464957797957,1.0022834539413452,0.002283453941345215,0.0043061684013129976,0.0037025350986024806,0.0043061684013129976,direct,constitutive,149000,25308.79644036293,29432
A12,completed,0.09581153347964161,0.007223500328721692,0.05151751690418165,0.22751836710252946,0.31137073003575494,0.30196885060970413,0.2709343363182371,0.2694445485691422,0.2779480710165564,0.9999499917030334,5.0008296966552734e-05,0.19257154774626958,0.19257154774626958,0.19433670482798915,direct,stress,136000,25993.84021782875,29432
A13,completed,0.033104645821687775,0.005621484568854601,0.019363065195271187,0.20631354903507548,0.22157705123413265,0.21876703531327057,0.21821734953460706,0.21394530013460406,0.21621874627927143,0.9995784759521484,0.0004215240478515625,0.16050469764256356,0.16050469764256356,0.15735720417208118,direct,stress,149000,25727.674404621124,29432
A14,completed,0.04583106332485833,0.0049399910623389,0.025385527193598618,0.11313919434395002,0.1597769577953561,0.13303927589333725,0.1619948081443512,0.13645807606965307,0.14198755904424865,0.9993497729301453,0.0006502270698547363,0.003924422745404708,0.0023535786101943645,0.003924422745404708,direct,constitutive,136000,26392.313314199448,29432
A15,completed,0.03714304570914279,0.004300746490991446,0.020721896100067118,0.06800406484981797,0.09297856921214027,0.07691754101217654,0.09431012377522045,0.08049131703097911,0.0830525747123388,1.0011006593704224,0.0011006593704223633,0.0019390443243080323,4.568907455956721e-05,0.0019390443243080323,direct,constitutive,147000,26337.983160495758,29432
