# x y ux uy
1.111111119389533997e-01 1.111111119389533997e-01 5.199013277888298035e-03 1.834546960890293121e-02
2.222222238779067993e-01 1.111111119389533997e-01 9.770948439836502075e-03 1.976666413247585297e-02
3.333333432674407959e-01 1.111111119389533997e-01 1.316436287015676498e-02 2.072950266301631927e-02
4.444444477558135986e-01 1.111111119389533997e-01 1.496996171772480011e-02 2.112803980708122253e-02
5.555555820465087891e-01 1.111111119389533997e-01 1.496995985507965088e-02 2.095914073288440704e-02
6.666666865348815918e-01 1.111111119389533997e-01 1.316436100751161575e-02 2.030183561146259308e-02
7.777777910232543945e-01 1.111111119389533997e-01 9.770944714546203613e-03 1.928033865988254547e-02
8.888888955116271973e-01 1.111111119389533997e-01 5.199010483920574188e-03 1.802804507315158844e-02
1.111111119389533997e-01 2.222222238779067993e-01 8.549579419195652008e-03 3.700836375355720520e-02
2.222222238779067993e-01 2.222222238779067993e-01 1.606795378029346466e-02 4.001965001225471497e-02
3.333333432674407959e-01 2.222222238779067993e-01 2.164829708635807037e-02 4.188667237758636475e-02
4.444444477558135986e-01 2.222222238779067993e-01 2.461753226816654205e-02 4.242497682571411133e-02
5.555555820465087891e-01 2.222222238779067993e-01 2.461753226816654205e-02 4.174938052892684937e-02
6.666666865348815918e-01 2.222222238779067993e-01 2.164829522371292114e-02 4.017600417137145996e-02
7.777777910232543945e-01 2.222222238779067993e-01 1.606794819235801697e-02 3.807435184717178345e-02
8.888888955116271973e-01 2.222222238779067993e-01 8.549575693905353546e-03 3.573866188526153564e-02
1.111111119389533997e-01 3.333333432674407959e-01 9.873271919786930084e-03 5.598868429660797119e-02
2.222222238779067993e-01 3.333333432674407959e-01 1.855568028986454010e-02 6.075897067785263062e-02
3.333333432674407959e-01 3.333333432674407959e-01 2.500000223517417908e-02 6.347151100635528564e-02
4.444444477558135986e-01 3.333333432674407959e-01 2.842895314097404480e-02 6.389081478118896484e-02
5.555555820465087891e-01 3.333333432674407959e-01 2.842894941568374634e-02 6.237072870135307312e-02
6.666666865348815918e-01 3.333333432674407959e-01 2.500000037252902985e-02 5.962250754237174988e-02
7.777777910232543945e-01 3.333333432674407959e-01 1.855567470192909241e-02 5.638204142451286316e-02
8.888888955116271973e-01 3.333333432674407959e-01 9.873267263174057007e-03 5.313185602426528931e-02
1.111111119389533997e-01 4.444444477558135986e-01 9.356226772069931030e-03 7.528643310070037842e-02
2.222222238779067993e-01 4.444444477558135986e-01 1.758395321667194366e-02 8.198460936546325684e-02
3.333333432674407959e-01 4.444444477558135986e-01 2.369079552590847015e-02 8.548400551080703735e-02
4.444444477558135986e-01 4.444444477558135986e-01 2.694017812609672546e-02 8.552554994821548462e-02
5.555555820465087891e-01 4.444444477558135986e-01 2.694017626345157623e-02 8.282317221164703369e-02
6.666666865348815918e-01 4.444444477558135986e-01 2.369079366326332092e-02 7.864134013652801514e-02
7.777777910232543945e-01 4.444444477558135986e-01 1.758394762873649597e-02 7.420340180397033691e-02
8.888888955116271973e-01 4.444444477558135986e-01 9.356222115457057953e-03 7.020761817693710327e-02
1.111111119389533997e-01 5.555555820465087891e-01 7.484979461878538132e-03 9.490160644054412842e-02
2.222222238779067993e-01 5.555555820465087891e-01 1.406716089695692062e-02 1.036965698003768921e-01
3.333333432674407959e-01 5.555555820465087891e-01 1.895263418555259705e-02 1.079241782426834106e-01
4.444444477558135986e-01 5.555555820465087891e-01 2.155214175581932068e-02 1.073291972279548645e-01
5.555555820465087891e-01 5.555555820465087891e-01 2.155213989317417145e-02 1.031067222356796265e-01
6.666666865348815918e-01 5.555555820465087891e-01 1.895263232290744781e-02 9.723251312971115112e-02
7.777777910232543945e-01 5.555555820465087891e-01 1.406715530902147293e-02 9.153844416141510010e-02
8.888888955116271973e-01 5.555555820465087891e-01 7.484976202249526978e-03 8.696596324443817139e-02
1.111111119389533997e-01 6.666666865348815918e-01 4.936635494232177734e-03 1.148342117667198181e-01
2.222222238779067993e-01 6.666666865348815918e-01 9.277840144932270050e-03 1.258948594331741333e-01
3.333333432674407959e-01 6.666666865348815918e-01 1.250000018626451492e-02 1.307920217514038086e-01
4.444444477558135986e-01 6.666666865348815918e-01 1.421447470784187317e-02 1.293017268180847168e-01
5.555555820465087891e-01 6.666666865348815918e-01 1.421447470784187317e-02 1.232213601469993591e-01
6.666666865348815918e-01 6.666666865348815918e-01 1.249999832361936569e-02 1.153960153460502625e-01
7.777777910232543945e-01 6.666666865348815918e-01 9.277836419641971588e-03 1.083871573209762573e-01
8.888888955116271973e-01 6.666666865348815918e-01 4.936633165925741196e-03 1.034068763256072998e-01
1.111111119389533997e-01 7.777777910232543945e-01 2.442736178636550903e-03 1.350842267274856567e-01
2.222222238779067993e-01 7.777777910232543945e-01 4.590842407196760178e-03 1.485794633626937866e-01
3.333333432674407959e-01 7.777777910232543945e-01 6.185225211083889008e-03 1.540875136852264404e-01
4.444444477558135986e-01 7.777777910232543945e-01 7.033578585833311081e-03 1.514431536197662354e-01
5.555555820465087891e-01 7.777777910232543945e-01 7.033577654510736465e-03 1.431671082973480225e-01
6.666666865348815918e-01 7.777777910232543945e-01 6.185224745422601700e-03 1.331318467855453491e-01
7.777777910232543945e-01 7.777777910232543945e-01 4.590841010212898254e-03 1.247495487332344055e-01
8.888888955116271973e-01 7.777777910232543945e-01 2.442735247313976288e-03 1.195303574204444885e-01
1.111111119389533997e-01 8.888888955116271973e-01 6.498763104900717735e-04 1.556516736745834351e-01
2.222222238779067993e-01 8.888888955116271973e-01 1.221367856487631798e-03 1.717504113912582397e-01
3.333333432674407959e-01 8.888888955116271973e-01 1.645544543862342834e-03 1.778106987476348877e-01
4.444444477558135986e-01 8.888888955116271973e-01 1.871244283393025398e-03 1.737534850835800171e-01
5.555555820465087891e-01 8.888888955116271973e-01 1.871244050562381744e-03 1.629439592361450195e-01
6.666666865348815918e-01 8.888888955116271973e-01 1.645544311031699181e-03 1.504400074481964111e-01
7.777777910232543945e-01 8.888888955116271973e-01 1.221367507241666317e-03 1.406256109476089478e-01
8.888888955116271973e-01 8.888888955116271973e-01 6.498760194517672062e-04 1.353364288806915283e-01
