# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 5.008962189369930984e-01 8.503040074722859609e-01 3.313493004311547363e-01 1.087040936238050204e+00
2.000000000000000000e+03 5.103838862245884123e-01 6.342803001532060225e-01 2.783648849203556597e-01 1.058556303582169456e+00
3.000000000000000000e+03 5.168278991011641121e-01 6.081036158359393040e-01 2.553535687157545420e-01 1.098491100570684553e+00
4.000000000000000000e+03 5.181965307227582862e-01 5.501627343467532238e-01 2.476620859001695263e-01 1.108328188078844923e+00
5.000000000000000000e+03 5.181882736844587445e-01 5.282709344644893612e-01 2.412136723907057079e-01 1.135524182746577404e+00
6.000000000000000000e+03 4.982195073080006309e-01 5.148804866097240751e-01 2.503750236859336176e-01 1.098986451220763438e+00
7.000000000000000000e+03 4.723617111225336673e-01 4.526432099344935844e-01 2.413289227967959083e-01 9.846187094193916689e-01
8.000000000000000000e+03 4.506493059683814861e-01 4.222023664219506922e-01 2.374943884974576869e-01 9.041339256317346695e-01
9.000000000000000000e+03 4.497294168549011983e-01 3.857242370255695718e-01 2.195635599971481611e-01 8.721849290548437938e-01
1.000000000000000000e+04 4.094514739363597777e-01 3.902187289987190111e-01 2.221820719329569704e-01 7.700698335470672617e-01
1.100000000000000000e+04 3.763222270663296731e-01 3.544569745789188375e-01 2.143295110621211974e-01 6.657314936771980829e-01
1.200000000000000000e+04 3.641319760964036312e-01 3.298451341788117275e-01 1.999332024542813946e-01 6.203974441419859431e-01
1.300000000000000000e+04 3.650936458236790916e-01 3.547194255905166127e-01 2.035103933838040280e-01 6.488126921646157896e-01
1.400000000000000000e+04 3.459886482237259919e-01 3.386696115347787583e-01 1.965799265994482847e-01 6.060413540139766297e-01
1.500000000000000000e+04 3.444979500526050287e-01 3.339104311661974522e-01 1.892278022948797878e-01 6.077948613183316029e-01
1.600000000000000000e+04 3.275069469215370899e-01 3.247726023164058118e-01 1.847479338497553802e-01 5.912167244471779881e-01
1.700000000000000000e+04 3.289864980909537606e-01 3.098865222470346126e-01 1.768455825325446762e-01 6.001161535847201467e-01
1.800000000000000000e+04 3.007906389406156400e-01 3.032247413201202835e-01 1.767425498049720045e-01 5.548713459775754808e-01
1.900000000000000000e+04 2.804427368889079730e-01 2.820570883793350192e-01 1.673538429549515927e-01 5.195643031359699071e-01
2.000000000000000000e+04 2.592899112203092549e-01 2.627870607617778798e-01 1.602276889293585693e-01 4.746179730769855554e-01
2.100000000000000000e+04 2.497219304735212586e-01 2.720522438545501243e-01 1.643798260965537994e-01 4.702708867254921654e-01
2.200000000000000000e+04 2.419520023868206027e-01 2.601314039076882967e-01 1.574868412422969766e-01 4.522238508980675475e-01
2.300000000000000000e+04 2.950151434082242119e-01 3.139378355854569036e-01 1.765699921279914597e-01 6.155870337890576582e-01
2.400000000000000000e+04 2.332528822568222804e-01 2.582464963452016371e-01 1.603207976318156702e-01 4.294229246054907523e-01
2.500000000000000000e+04 2.174063459192490388e-01 2.394260651212642976e-01 1.517461106451062081e-01 3.978052435156595457e-01
2.600000000000000000e+04 2.076639902853072428e-01 2.400373566557927885e-01 1.525514555024808927e-01 3.851710203720540293e-01
2.700000000000000000e+04 2.029972636174958711e-01 2.503561267399913026e-01 1.644454563770662570e-01 3.751528219726463220e-01
2.800000000000000000e+04 1.902804613152141444e-01 2.357410056286398381e-01 1.538764604667643143e-01 3.582287663898401364e-01
2.900000000000000000e+04 2.041909148357942683e-01 2.538096170057814738e-01 1.653871260005019272e-01 3.859252498792676844e-01
3.000000000000000000e+04 2.004863670792868535e-01 2.531448490536907792e-01 1.680577106813678501e-01 3.683958558675043404e-01
3.100000000000000000e+04 1.976894604961154933e-01 2.502136995953912479e-01 1.647083522048698179e-01 3.709866147151843485e-01
3.200000000000000000e+04 3.728080866130074611e-01 4.456820022841960771e-01 2.429511716163137436e-01 8.434838750651818540e-01
3.300000000000000000e+04 2.950725848713273147e-01 3.231574172629778641e-01 1.914320372783535895e-01 5.552594904153655975e-01
3.400000000000000000e+04 2.570342259742056101e-01 2.946258275817485450e-01 1.796092418517082623e-01 4.789491813191993352e-01
3.500000000000000000e+04 2.376518194108521165e-01 2.786310649440351117e-01 1.751420225644542417e-01 4.372697625862668191e-01
3.600000000000000000e+04 2.518833203422452538e-01 3.094429314626538363e-01 1.931787565364488091e-01 4.641110302481479266e-01
3.700000000000000000e+04 2.333760497447890103e-01 2.866255317760552646e-01 1.825415074053579056e-01 4.278744033056062213e-01
3.800000000000000000e+04 2.238119085208102599e-01 2.780900890843469586e-01 1.795717712763292007e-01 4.077705921498739339e-01
3.900000000000000000e+04 2.120256193879540840e-01 2.742805898355784588e-01 1.802163900747672520e-01 3.896465996468169712e-01
4.000000000000000000e+04 2.205270109741416518e-01 2.756275243429964772e-01 1.805014957345227877e-01 3.949862416761945605e-01
4.100000000000000000e+04 2.189841145592376914e-01 2.749060269350057095e-01 1.822199190308469163e-01 3.875694647963918160e-01
4.200000000000000000e+04 2.028987984357749630e-01 2.716923488891230254e-01 1.833239157287126775e-01 3.624696123507768486e-01
4.300000000000000000e+04 2.153958259019864430e-01 2.734880849301145056e-01 1.821016028504075235e-01 3.775659468873155955e-01
4.400000000000000000e+04 2.102780447553373455e-01 2.673606265899078904e-01 1.798797566965055772e-01 3.641598003823600105e-01
4.500000000000000000e+04 2.360243296385703404e-01 2.844214437460708123e-01 1.848224435211606731e-01 4.211424326668970486e-01
4.600000000000000000e+04 2.104535205809310583e-01 2.692942561293091841e-01 1.814143584337958026e-01 3.639889658343449241e-01
4.700000000000000000e+04 2.180701980367940052e-01 2.732939918825021963e-01 1.821059062892162184e-01 3.726537775566686750e-01
4.800000000000000000e+04 2.106591621197787811e-01 2.645393738928303318e-01 1.775895891934957949e-01 3.606845033593399918e-01
4.900000000000000000e+04 2.082365608444518290e-01 2.595784462687830141e-01 1.758952946767718128e-01 3.506669230858409647e-01
5.000000000000000000e+04 1.995509409720730987e-01 2.603286469562249850e-01 1.785782219380732116e-01 3.389732944109201673e-01
5.100000000000000000e+04 2.041615610646397572e-01 2.603242016278176640e-01 1.772239785702743042e-01 3.457619781017519101e-01
5.200000000000000000e+04 2.016161088211475272e-01 2.600336950005101566e-01 1.776033624686275403e-01 3.389991784333466485e-01
5.300000000000000000e+04 2.101239821824001930e-01 2.628206215192901429e-01 1.764994679632400920e-01 3.539311687439115617e-01
5.400000000000000000e+04 3.139774869098238552e-01 3.488131738572808338e-01 1.983231486038414815e-01 5.895030089981950772e-01
5.500000000000000000e+04 2.447383124375076546e-01 2.863346424383550470e-01 1.826214105686738420e-01 4.212717755132910913e-01
5.600000000000000000e+04 2.145760396161564554e-01 2.636100353023516640e-01 1.775416836306096258e-01 3.573058271424225385e-01
