# x y integration_weight true_syy
0.000000000000000000e+00 1.000000000000000000e+00 6.329114083200693130e-03 2.369232475757598877e-01
1.265822816640138626e-02 1.000000000000000000e+00 1.265822816640138626e-02 2.444548159837722778e-01
2.531645633280277252e-02 1.000000000000000000e+00 1.265822816640138626e-02 2.519508004188537598e-01
3.797468170523643494e-02 1.000000000000000000e+00 1.265822816640138626e-02 2.593757212162017822e-01
5.063291266560554504e-02 1.000000000000000000e+00 1.265822816640138626e-02 2.666946351528167725e-01
6.329113990068435669e-02 1.000000000000000000e+00 1.265822816640138626e-02 2.738732099533081055e-01
7.594936341047286987e-02 1.000000000000000000e+00 1.265822816640138626e-02 2.808779776096343994e-01
8.860759437084197998e-02 1.000000000000000000e+00 1.265822816640138626e-02 2.876766026020050049e-01
1.012658253312110901e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.942379117012023926e-01
1.139240488409996033e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.005323410034179688e-01
1.265822798013687134e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.065318167209625244e-01
1.392405033111572266e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.122101128101348877e-01
1.518987268209457397e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.175428211688995361e-01
1.645569652318954468e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.225075304508209229e-01
1.772151887416839600e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.270838558673858643e-01
1.898734122514724731e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.312532603740692139e-01
2.025316506624221802e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.349995017051696777e-01
2.151898741722106934e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.383081853389739990e-01
2.278480976819992065e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.411671221256256104e-01
2.405063360929489136e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.435662090778350830e-01
2.531645596027374268e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.454975485801696777e-01
2.658227980136871338e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.469558060169219971e-01
2.784810066223144531e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.479378819465637207e-01
2.911392450332641602e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.484437465667724609e-01
3.037974536418914795e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.484762012958526611e-01
3.164556920528411865e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.480411171913146973e-01
3.291139304637908936e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.471474349498748779e-01
3.417721390724182129e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.458074331283569336e-01
3.544303774833679199e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.440361618995666504e-01
3.670886158943176270e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.418516814708709717e-01
3.797468245029449463e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.392744660377502441e-01
3.924050629138946533e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.363273143768310547e-01
4.050633013248443604e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.330347836017608643e-01
4.177215099334716797e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.294230699539184570e-01
4.303797483444213867e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.255194425582885742e-01
4.430379867553710938e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.213523924350738525e-01
4.556961953639984131e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.169511556625366211e-01
4.683544337749481201e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.123454451560974121e-01
4.810126721858978271e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.075656294822692871e-01
4.936708807945251465e-01 1.000000000000000000e+00 1.265822816640138626e-02 3.026425540447235107e-01
5.063291192054748535e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.976071536540985107e-01
5.189873576164245605e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.924906909465789795e-01
5.316455960273742676e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.873244881629943848e-01
5.443037748336791992e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.821395993232727051e-01
5.569620132446289062e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.769669890403747559e-01
5.696202516555786133e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.718369960784912109e-01
5.822784900665283203e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.667794823646545410e-01
5.949367284774780273e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.618232667446136475e-01
6.075949072837829590e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.569963634014129639e-01
6.202531456947326660e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.523252964019775391e-01
6.329113841056823730e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.478354126214981079e-01
6.455696225166320801e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.435504496097564697e-01
6.582278609275817871e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.394923716783523560e-01
6.708860993385314941e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.356813848018646240e-01
6.835442781448364258e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.321357131004333496e-01
6.962025165557861328e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.288713604211807251e-01
7.088607549667358398e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.259023934602737427e-01
7.215189933776855469e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.232404053211212158e-01
7.341772317886352539e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.208948284387588501e-01
7.468354701995849609e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.188726216554641724e-01
7.594936490058898926e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.171785086393356323e-01
7.721518874168395996e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.158145755529403687e-01
7.848101258277893066e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.147806733846664429e-01
7.974683642387390137e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.140741795301437378e-01
8.101266026496887207e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.136901468038558960e-01
8.227847814559936523e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.136212587356567383e-01
8.354430198669433594e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.138579785823822021e-01
8.481012582778930664e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.143885791301727295e-01
8.607594966888427734e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.151992172002792358e-01
8.734177350997924805e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.162740826606750488e-01
8.860759735107421875e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.175955325365066528e-01
8.987341523170471191e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.191440910100936890e-01
9.113923907279968262e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.208987623453140259e-01
9.240506291389465332e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.228370308876037598e-01
9.367088675498962402e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.249351739883422852e-01
9.493671059608459473e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.271682620048522949e-01
9.620253443717956543e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.295104712247848511e-01
9.746835231781005859e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.319351881742477417e-01
9.873417615890502930e-01 1.000000000000000000e+00 1.265822816640138626e-02 2.344152480363845825e-01
1.000000000000000000e+00 1.000000000000000000e+00 6.329114083200693130e-03 2.369230687618255615e-01
