0 [8.00000012e-01, 4.00000006e-01]
1000 [1.27941227e+00, 6.52849674e-01]
2000 [1.27966750e+00, 6.29811227e-01]
3000 [1.20938623e+00, 5.96696496e-01]
4000 [1.13059735e+00, 5.48160374e-01]
5000 [1.07463527e+00, 5.06469250e-01]
6000 [1.05139458e+00, 4.87207055e-01]
7000 [1.05175579e+00, 4.81873572e-01]
8000 [1.05487800e+00, 4.80366886e-01]
9000 [1.05751145e+00, 4.79669690e-01]
10000 [1.05795813e+00, 4.79634911e-01]
11000 [1.05736685e+00, 4.79382753e-01]
12000 [1.05641747e+00, 4.80045915e-01]
13000 [1.05716062e+00, 4.80640858e-01]
14000 [1.05387342e+00, 4.80646342e-01]
15000 [1.05555594e+00, 4.81237859e-01]
16000 [1.05195081e+00, 4.81600195e-01]
17000 [1.04981077e+00, 4.81090069e-01]
18000 [1.05091298e+00, 4.82696146e-01]
19000 [1.04890895e+00, 4.82650340e-01]
20000 [1.04917812e+00, 4.83361572e-01]
21000 [1.04647958e+00, 4.83767718e-01]
22000 [1.04428887e+00, 4.83731210e-01]
23000 [1.04374051e+00, 4.84378219e-01]
24000 [1.04288578e+00, 4.84204322e-01]
25000 [1.04264557e+00, 4.84973192e-01]
26000 [1.04087353e+00, 4.85399783e-01]
27000 [1.03996491e+00, 4.85802144e-01]
28000 [1.03964043e+00, 4.86384720e-01]
29000 [1.03726745e+00, 4.86535609e-01]
30000 [1.03719079e+00, 4.87027735e-01]
31000 [1.03519523e+00, 4.87435788e-01]
32000 [1.03446484e+00, 4.87472564e-01]
33000 [1.03406572e+00, 4.88126546e-01]
34000 [1.03310192e+00, 4.88149673e-01]
35000 [1.03084421e+00, 4.88555580e-01]
36000 [1.03057337e+00, 4.88929063e-01]
37000 [1.03046513e+00, 4.89338130e-01]
38000 [1.02916455e+00, 4.89299387e-01]
39000 [1.02829325e+00, 4.89761084e-01]
40000 [1.02654254e+00, 4.89921004e-01]
41000 [1.02691066e+00, 4.90319639e-01]
42000 [1.02557611e+00, 4.90391433e-01]
43000 [1.02535617e+00, 4.91110861e-01]
44000 [1.02514565e+00, 4.90760863e-01]
45000 [1.02396786e+00, 4.91108656e-01]
46000 [1.02266741e+00, 4.91348833e-01]
47000 [1.02210557e+00, 4.91895854e-01]
48000 [1.02202916e+00, 4.92073476e-01]
49000 [1.02093542e+00, 4.91991788e-01]
50000 [1.02038634e+00, 4.92504954e-01]
