0 [2.00000000e+00, 1.00000000e+00]
1000 [2.41509151e+00, 1.30810285e+00]
2000 [2.56925392e+00, 1.24471498e+00]
3000 [2.47373104e+00, 1.17964864e+00]
4000 [2.23163772e+00, 1.06518483e+00]
5000 [1.90370011e+00, 8.61458778e-01]
6000 [1.51516998e+00, 6.04930460e-01]
7000 [1.26018941e+00, 4.86371458e-01]
8000 [1.16887379e+00, 4.67968851e-01]
9000 [1.12342072e+00, 4.67020035e-01]
10000 [1.10166490e+00, 4.69788671e-01]
11000 [1.08796561e+00, 4.74217862e-01]
12000 [1.07548475e+00, 4.77024496e-01]
13000 [1.06505311e+00, 4.79431152e-01]
14000 [1.05695617e+00, 4.81218874e-01]
15000 [1.05022144e+00, 4.83035952e-01]
16000 [1.04346251e+00, 4.84310299e-01]
17000 [1.04031217e+00, 4.86455500e-01]
18000 [1.03529572e+00, 4.87535268e-01]
19000 [1.03084266e+00, 4.88047659e-01]
20000 [1.02862322e+00, 4.89509761e-01]
21000 [1.02487731e+00, 4.89564389e-01]
22000 [1.02215338e+00, 4.90769714e-01]
23000 [1.01974928e+00, 4.92039025e-01]
24000 [1.01773953e+00, 4.92206097e-01]
25000 [1.01516318e+00, 4.93374527e-01]
26000 [1.01270151e+00, 4.94203657e-01]
27000 [1.01067328e+00, 4.94374573e-01]
28000 [1.00903833e+00, 4.95108604e-01]
29000 [1.00855839e+00, 4.95833069e-01]
30000 [1.00613165e+00, 4.96212065e-01]
31000 [1.00507712e+00, 4.96939927e-01]
32000 [1.00328231e+00, 4.97175097e-01]
33000 [1.00121784e+00, 4.97771502e-01]
34000 [1.00044191e+00, 4.98018831e-01]
35000 [9.99595523e-01, 4.98079538e-01]
36000 [9.99119103e-01, 4.99076128e-01]
37000 [9.98176455e-01, 4.99399483e-01]
38000 [9.96868610e-01, 4.99717712e-01]
39000 [9.95657027e-01, 4.99709398e-01]
40000 [9.95363295e-01, 4.99938786e-01]
41000 [9.94338632e-01, 5.00490129e-01]
42000 [9.93172407e-01, 5.00379324e-01]
43000 [9.93159115e-01, 5.00818729e-01]
44000 [9.93119359e-01, 5.01298487e-01]
45000 [9.91176963e-01, 5.01231432e-01]
46000 [9.91677701e-01, 5.01478195e-01]
47000 [9.90916193e-01, 5.01888394e-01]
48000 [9.90583897e-01, 5.02125740e-01]
49000 [9.89807725e-01, 5.02147257e-01]
50000 [9.88968551e-01, 5.02033532e-01]
